CaseOrder,Interaction,UID,Population,Area,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
1689,f2191719-a782-4327-a2b6-84e1a8acde1e,81406a8dd6fa97bbf617b8e1850dc9cc,46589,Urban,1,63,0.4968381266660123,Yes,13.34913229,10,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Electronic Check,-1.2667682593387746,147.442069,-1.4104902548095597,3,2,3,4,4,2,3,3
1690,e4b93e9c-c7d6-45b7-a0a8-317178f65b7a,474d68a11f2ce5139c27a6284f243192,20760,Urban,0,42,-0.6763899590075031,Yes,7.83125489,17,0,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Mailed Check,-1.0510244760475136,149.944668,-0.9781311557458355,3,3,3,3,3,4,2,2
1691,36d3a21d-3a7d-4604-9be6-6e3ef895b2b6,dc81505a2cd3ec9e374ef72f71fcd72d,39478,Suburban,7,37,-0.10698072795979723,Yes,10.45355154,7,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-1.0218741760262784,220.132293,-0.9066466566373006,2,3,2,3,2,2,3,4
1692,1ee7e8a9-d603-4398-9af4-415ddf142e87,0dbfdb4fbf094c3a20c63ffe0a91ef89,163,Suburban,4,60,-0.1368000375360978,No,5.80921457,13,0,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Bank Transfer(automatic),-0.5297291276697631,139.983006,-0.4328538972825719,5,5,5,2,4,4,5,3
1693,beb9b993-38c1-482d-990a-2db953076955,2841f55ff3f123d5504099aac240c005,5943,Urban,4,38,1.1857182232937185,Yes,11.41757633,12,0,0,No,Month-to-month,Yes,No,,Yes,No,No,Yes,No,Yes,Yes,No,No,Bank Transfer(automatic),-0.9532358340493005,139.9678,-0.974450869249643,5,5,5,2,3,3,5,5
1694,bf7d7756-b63a-414d-9add-8831eddf58eb,ca9babdcbb432692f79ffbb53c1ec7c5,2835,Suburban,4,50,-0.9576608820620683,No,7.819201487,10,1,0,No,Two Year,No,No,DSL,Yes,Yes,Yes,No,Yes,No,No,No,No,Credit Card (automatic),-1.026361867192272,140.00128,-0.9273113531787812,3,3,3,1,4,2,4,2
1695,ea51cbd4-123a-4825-baf7-53be7564715c,6e63f1d2444318c7179b747806c05cd1,506,Rural,8,85,-0.682711924992527,No,8.088434368,9,0,0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,-0.974503732817543,144.960655,-1.1329112739783627,5,4,5,4,4,3,4,3
1696,2b839bba-9124-4a4e-b12d-f9bfc52c50ca,6fb80a7b1807fbbfd3e4a814b33ade32,2275,Rural,0,18,0.7500146541820375,No,11.05788928,15,0,1,Yes,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Credit Card (automatic),-1.06788430870336,149.959755,-1.1254549392340052,1,3,3,3,4,2,2,2
1697,7e61124e-a3e6-43bd-badf-98fc83dfef98,0bb2b32a06a6d6bf61344e730d23a9a8,299,Suburban,0,37,-0.4488743648328323,Yes,10.11721314,8,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Electronic Check,-1.206889832371871,194.976769,-1.2734500709637604,4,3,4,2,5,3,2,2
1698,9cd355a3-4a91-459f-9630-22c80aa35fbb,4cbd849f9800a9950c3e3dc41466b343,5651,Suburban,1,37,-0.7189539151070429,Yes,11.64173568,11,0,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Electronic Check,-0.8786665642902628,164.985293,-0.6907377369338936,4,5,3,3,3,5,3,5
1699,7ad29079-fdba-42de-918c-2ca326633d91,b9820bcc8454245416e1c15a34c4b5cc,36923,Rural,4,74,2.2084074861285825,No,10.14600151,10,1,0,Yes,One year,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Electronic Check,-0.8680825352017756,152.510442,-0.8026588102209323,3,4,5,4,3,4,3,3
1700,50fbee39-6af3-4de7-9b93-27e9eb8ffb60,22894dacad9b64e6966e639b75440b0c,39,Suburban,8,76,-0.33235578325043813,No,11.30992672,8,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,-0.7376750233581376,127.495766,-0.8064858293343483,5,5,4,2,3,3,4,6
1701,deeee986-cb34-458f-8df2-26b6a2c20ed2,c21a1c8346ea9c32071b530cd4609a74,20195,Rural,1,62,-1.0268198635209436,No,6.236748796,11,3,0,No,One year,Yes,No,DSL,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),-0.7655369003622376,172.470522,-0.6885647896873609,3,4,4,4,3,3,3,4
1702,379cf7e9-7866-4fae-a9c8-38cc8b51d8e1,6f6363c713efd44849eb00d64b1ac75d,6017,Rural,3,42,0.44489282271389957,Yes,7.219910689,8,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Bank Transfer(automatic),-1.1257295730985455,194.974431,-1.1416483230104504,4,4,4,3,3,5,5,4
1703,15799a4f-5b47-4b83-81b6-c99beb3c2303,083c2f50909320e93fcad4ebe6003403,1387,Suburban,3,81,0.640732271394977,No,8.759756787,14,1,0,No,One year,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Mailed Check,-1.2014343202693143,124.97808,-1.4163091028687451,4,4,4,3,4,5,3,3
1704,535a3b79-093e-4aa9-944a-a18144baf1d2,37c8a20ca0af908accaf8070ee1efccc,128,Urban,3,80,0.5241672334517797,Yes,14.60495207,12,2,0,No,Two Year,No,No,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),-1.0243182003952136,242.610632,-0.7822050527425558,4,4,3,5,3,4,4,3
1705,e328e8cc-e935-4ce9-a7b7-ed7f46cb688d,4e213e9dbc209d81da71eb48879211fb,371,Urban,0,50,-0.913302859326626,Yes,14.17602329,14,0,0,Yes,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Mailed Check,-0.9252317415201635,199.990219,-0.7255085941658749,4,3,3,4,3,5,5,4
1706,17ae7aee-1842-422e-bfce-606418bd0030,8ccf53496cd5821a368f129ff6a16c1b,813,Suburban,2,21,0.4118173123368761,Yes,8.11725589,9,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Electronic Check,-0.6865656274805059,184.967019,-0.6952884826776176,3,3,3,2,4,4,3,3
1707,5e6d2106-22be-4208-a4a0-d915fbd6e861,ceebbdb910ddf8d5f411c7396a94c075,314,Urban,0,41,-0.6698679824309298,No,12.39190153,13,1,1,Yes,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-1.224054115372706,147.442069,-1.3492190677664238,3,3,2,4,3,3,4,4
1708,6473c246-3834-46c0-b24a-a38d8608d35d,b3af6e4eb1a39c0d10546114a8be414b,266,Suburban,4,71,0.3117559852261823,Yes,10.84404672,11,1,1,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bank Transfer(automatic),-1.2349516269650336,255.141716,-1.1592986780949226,3,4,4,4,3,3,3,4
1709,9cb90991-1bed-4f01-a774-7fc50ff219c7,653890e26af55ed73001c78c5a3c17e2,1700,Urban,3,45,-0.18827155753376007,Yes,7.583070893,8,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Mailed Check,-0.6721702025341376,159.947583,-0.5812756845359665,4,3,4,3,5,4,3,3
1710,767d74f2-d821-49af-bc19-4a17d5505559,46669dbaa61d97c14a76feaaefad4bdb,9916,Suburban,2,46,-0.7350317168607324,Yes,11.02448303,12,0,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,No,Electronic Check,-0.5431135665935765,210.105118,-0.3010989832003547,3,4,3,4,4,3,3,4
1711,31445ff5-61fb-4b30-a671-0ed450b209ca,0bcd3adc0f6c8a92b833d5a8df17b835,4292,Rural,0,58,-0.6594862269919007,No,8.510124671,11,0,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,-1.0125247609402335,164.971516,-0.9060389640874594,4,2,3,2,5,4,3,3
1712,b391e9be-5364-4cc1-8e2b-fb50c0b7d232,42b6022918c711de9bec9724435586db,2258,Suburban,0,87,-0.6143139767419236,No,14.5077828,13,1,0,No,Month-to-month,Yes,No,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Mailed Check,-1.1672027383903616,127.511223,-1.3656237064143897,5,4,4,2,5,3,3,4
1713,4772b9fe-aa14-41f6-91c5-a8a42c60d47f,77863074ddadf14533ed1cdf5a4fd15b,411,Suburban,1,18,-0.0630741475701751,Yes,7.823397558,12,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Electronic Check,-0.8727608357949682,152.466002,-0.9370474447704696,4,4,4,4,3,5,3,3
1714,44b5478c-9282-4ba1-8a87-d5f3568975ab,2b4ddb827d49ea0ee4bd1b5e6e56fda5,8691,Urban,0,50,-0.34989359139669757,Yes,7.065505359,10,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-0.9912439231598736,169.944668,-1.0985558091076746,4,3,4,4,3,4,3,4
1715,2328cf1c-4035-4bdb-9e8f-95b98df99067,f11b72b4aa9190cb234bbae7a191e784,47493,Urban,6,31,2.2949042651421676,Yes,6.836041233,15,0,1,No,Month-to-month,No,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Credit Card (automatic),-1.248438899929059,139.99789,-1.2329214160021027,3,4,4,3,2,4,5,5
1716,a2f7d392-ea90-4145-b749-22f9e66585b9,c7e8f4844c874adea08aa79ed9cb87a3,206,Rural,3,27,1.5883906106169283,No,8.407938599,14,3,2,Yes,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),-0.9531022630384359,182.460772,-0.9729839306875071,4,4,4,3,4,4,4,4
1717,5d7c1cbd-64bb-4994-93f5-634abe0d17fb,a5fe1a999b66b594624c4c6242230a84,471,Suburban,1,44,-0.3626871766816989,Yes,4.708283677,11,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Mailed Check,-0.921391973853641,202.443347,-1.0012645355136431,4,4,4,4,3,3,5,4
1718,0aad11e5-653b-4940-9cc8-97336b120bdf,006b6704e9f7435057dda749e9504aa2,497,Rural,3,45,1.0431709583993372,Yes,15.42891992,17,0,1,No,Two Year,No,No,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Bank Transfer(automatic),-1.0706713409775244,232.62403,-0.8166837595025614,4,4,3,3,3,3,4,4
1719,f3aeb10e-4cee-4864-97dd-170e050417a4,83d947b09d8701e21cdedfee6dc0b279,860,Suburban,1,33,1.2851635603378846,No,9.004832636,6,1,0,Yes,One year,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,No,No,Electronic Check,-1.2048545769348924,134.980139,-1.3012268636617286,3,4,4,2,3,3,5,1
1720,153a2506-d2fa-4026-ad4f-9e70e56c409b,c20e18f423fa95db1357fed38508c00b,1458,Rural,0,36,-0.3563066969597856,No,6.802850752,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),-0.9018372705196204,154.975543,-0.7162128953749737,3,3,4,1,3,2,2,3
1721,e7c6e6bb-44d0-4aa8-a9fe-bad25698430e,8e112e3368e501a4ebb5de4c79a48bf2,247,Urban,3,47,1.2035893824258939,No,15.0321318,12,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Mailed Check,-0.9981536216872138,182.460772,-1.0476595441105412,4,4,4,3,4,4,3,4
1722,b1233e26-85c7-42e0-8fd7-a98817bd3f0a,a1e3d4d1c9f8a6cecf42b6a95be54181,543,Suburban,0,56,0.5072205913624583,No,7.276553998,10,1,0,No,Month-to-month,No,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),-1.2380560782842138,204.963371,-1.2702912735840273,3,3,3,4,5,4,4,5
1723,c1c48694-5922-48b8-bcc9-5d7705a9897a,7cc0f2453b1d48e9e739ed6b9c4a8f5d,3039,Suburban,2,81,-0.19121710358590605,Yes,10.5336786,15,1,1,No,Month-to-month,Yes,Yes,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,-1.2036344474177214,220.161527,-1.168856268005708,4,3,4,5,2,5,3,5
1724,7432f586-ee1c-44d7-b753-f0d1a8939108,6178c52bf538a6bf0ba905468b3ae412,2701,Suburban,4,26,-1.2017255795439206,Yes,12.56737024,13,0,0,No,One year,No,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),-1.2050975720211585,222.665436,-1.0837142703279807,3,3,2,4,4,4,4,3
1725,93b67d1d-378b-48b7-a52c-cb96ac6cf8ad,a0bef077e6eb1ab3423d3e618652f9c8,384,Suburban,3,33,0.25413236639483017,No,10.99110627,14,1,0,Yes,One year,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),-0.43208689585239024,154.975543,-0.20369747988411663,4,5,3,2,2,4,3,3
1726,bf5b9381-22fa-44d6-8b31-ecb1ce0f479d,d7a2bbc59c6de4567e7c1dbaa97264de,7122,Urban,0,47,4.445061389002007,No,11.17549194,10,1,0,Yes,One year,No,No,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),-1.0687195212737097,127.442069,-1.014983304851287,6,5,6,5,3,5,5,4
1727,1c7dda6f-0d04-4079-9204-5388fde335c7,f1916d557ceb33657a6c38f1680d31c4,319,Suburban,2,61,-1.2033231818753578,Yes,11.36888104,12,1,1,No,Month-to-month,No,Yes,DSL,No,No,Yes,Yes,No,No,Yes,No,Yes,Mailed Check,-1.0464507993540204,142.452604,-0.9078941644090722,4,4,4,2,3,3,5,5
1728,a99ca3ba-2d8c-4f08-80f0-e0dc258a4c59,d2e68e1ab083db7da2103a30ccfb18b5,17585,Rural,1,80,1.5957860377023432,No,14.21094097,11,1,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,-0.786734972826725,149.962093,-0.9422068202842023,3,2,4,3,5,2,2,5
1729,7374fca5-d6a1-4c93-b782-f0b064f111b1,0e0e618ef7401f2b5c1ddd3d38c8b34e,1420,Rural,1,75,-0.904933621807887,No,10.14631572,9,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Bank Transfer(automatic),-0.38660774660396047,194.958118,-0.4450624571337929,5,4,5,3,3,4,4,6
1730,4ac047bf-5def-4948-bbe0-c8444d118c3e,5e48b349963f3707291b692541242faf,1897,Suburban,0,78,-1.3234235134128054,Yes,7.446156322,15,2,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Credit Card (automatic),-1.0777860898876739,154.991856,-1.03278263012037,4,4,3,4,3,5,5,4
1731,0077e0b8-1335-4717-88c0-1f1b4403e78b,d510e5db8e7a2eb1dd919778937fb905,2473,Urban,1,75,-1.0395106064805029,Yes,10.7481104,14,1,1,No,Month-to-month,No,Yes,,Yes,No,No,Yes,No,Yes,No,Yes,No,Electronic Check,-0.9468148930993147,149.970715,-1.1039314114733745,5,4,4,3,3,5,4,4
1732,157e72d3-6e3c-42b8-bb2a-c9d81ff46d9e,941fdb93ceceeed3a3f2a901c9efa085,7825,Suburban,0,58,-0.8606756043682194,Yes,11.6424418,5,1,0,No,Two Year,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Mailed Check,-0.9378761833154935,245.128318,-0.6713390838896071,3,2,3,5,3,4,4,5
1733,5ffcf7c9-f1f8-4130-8f1c-9458ed090a20,ec967b3ef16f6b13fc4d2492fcaba701,7637,Urban,0,46,0.0332252782015873,No,12.81300692,12,0,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,No,Credit Card (automatic),-0.5517385665435895,182.45383,-0.6763458989058265,4,4,5,2,5,2,3,3
1734,e3213215-61ce-4bf9-b5c2-4426ecb65f09,8e1d0353835336235103115261dbd580,35763,Suburban,4,28,0.85667313915549,No,6.784802038,12,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Bank Transfer(automatic),-1.2428592555664846,144.960655,-1.3321546991577977,3,4,4,2,3,2,4,3
1735,8ed90497-ec70-4084-86ad-2e5ea03dfe73,3b5ddb2affab30ba92baac48401a8d1f,2267,Urban,0,43,1.3633013860652752,Yes,6.462473731,7,2,0,No,Month-to-month,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),-0.9878224076891093,220.161527,-0.9475758196409406,4,4,4,3,4,5,5,5
1736,57d6854c-e4eb-4b57-8009-e2e56a0c51f4,e2d2fead478f15f7bc9d7ec096f4c741,214,Urban,1,66,0.13278799734824098,No,9.082948983,10,1,0,No,One year,No,No,DSL,Yes,Yes,No,No,Yes,No,No,Yes,No,Credit Card (automatic),-1.21476924618914,172.470522,-1.1399735802676878,5,6,4,4,5,4,5,4
1737,bb25d8c7-ef64-44ed-a45e-9f7952a3886b,2e1d339b01bfc1b5ec3e76c3446278c8,613,Suburban,1,84,0.3038988315624032,Yes,8.55142407,10,1,0,Yes,Month-to-month,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Electronic Check,-0.7724857999778055,255.119794,-0.5647159121079072,5,4,4,3,6,4,4,3
1738,d5c87a9c-a668-4749-b0c4-8821e890565c,a004b8136cbe700bf26212127470f625,1397,Rural,1,69,0.6356359022262568,No,8.943037777,10,1,0,No,Two Year,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Yes,Bank Transfer(automatic),-1.1474155565622257,92.455141,-1.2226602804929103,4,4,3,3,4,4,4,2
1739,0d223699-7137-4d69-8cea-6beed2ee3e2f,72fe9b3dc445bfc3c6a05745babba4ec,3098,Rural,3,20,-0.3172333512372353,Yes,6.3246769,14,0,1,No,Month-to-month,Yes,No,,Yes,No,Yes,No,No,No,Yes,No,No,Electronic Check,-0.7411056250689139,107.48056,-0.76178352730913,5,5,5,4,4,5,6,5
1740,10b81a7d-b5fc-4b5e-a70d-645b98cc2c7a,11b74f251a0f2d8d521ed34d03df09b3,719,Rural,2,35,0.41502528363325375,Yes,12.55061484,8,0,2,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,-0.6499573042847235,235.159141,-0.5474087111725202,4,5,4,3,3,3,5,4
1741,9cc0e5e6-e6a4-473a-be4f-607ceca323e1,e4f1fe147eef02f6bfb8412041156d65,3547,Suburban,1,88,-1.1338684400736594,Yes,11.14280011,17,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,-1.0085314143514483,252.637807,-1.000005148659299,5,4,4,4,5,4,5,3
1742,e36e1044-5070-4619-b5a6-77c18da5877d,acaad1d6d6cf63b815a1dbd83463b21e,228,Suburban,0,71,-0.3580947349076451,Yes,10.58657312,16,1,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),-0.9849475642133715,152.455519,-0.9281629197518029,4,3,4,4,4,3,5,4
1743,90945b1e-1ef3-45c4-8d64-b840d9f80bfb,8df87d3c9b8a89219f0529c22a1e627e,24198,Rural,4,86,-0.09806997240329919,Yes,7.1113897,17,1,0,No,One year,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),-1.0166503095301511,162.460772,-0.8835436921351151,3,4,4,3,3,2,4,4
1744,dd157c7b-c44a-49fe-9043-de1bdb0bcb1d,d4930dde59abd1ee733fcc04d1eaf8c2,8100,Rural,4,24,-0.9989229961729941,No,10.41978703,13,0,0,Yes,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),-0.7828822998069886,92.455141,-0.7514495766573267,4,4,3,5,2,4,5,5
1745,c6d940fb-1564-445f-a001-f2187ed0d36b,9d930b6763c899a9c4f1bdb28d92cd60,41,Suburban,3,76,-1.109399768450017,No,11.72281518,13,1,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),-1.0117966685878628,159.965008,-1.147710238113303,5,4,4,3,5,4,3,4
1746,05322bc8-fca9-4c59-ab49-0f1969806442,ee153b483c1733c9c04602e5f0c00fa6,12562,Suburban,5,33,2.4204183585423724,No,11.31837362,18,0,1,No,One year,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),-0.36872943745796194,204.963371,-0.30341825119977933,4,4,4,3,3,3,4,2
1747,3d6df3c6-daef-4920-90aa-50aa240d0125,e649c3939d61c895073a6b8b341c1511,13553,Urban,0,79,0.577690280527658,No,12.55721923,22,0,0,No,One year,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),-0.8032396076460218,190.173699,-0.8170904723264594,3,3,4,5,3,3,3,4
1748,0850bc03-5c60-4b65-b5c9-7ad0e9a55e17,9f51cc9d15a647e0c78a941564cc3710,34308,Suburban,1,76,1.1921164344510529,Yes,10.25266403,9,1,0,No,Month-to-month,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Electronic Check,-1.0635847616956793,175.02109,-1.1579130487823182,3,3,4,4,3,5,4,4
1749,c4abfd76-7e5b-40da-881b-4fee97cd41b0,00c027518f0037dc5bb2cb12c6dd250d,117,Suburban,0,24,0.9538098433078348,Yes,12.9605554,12,1,0,Yes,Two Year,Yes,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),-0.7351150564699647,242.657291,-0.6039672098422372,3,4,3,4,1,3,4,4
1750,4bc62ff3-8dd5-42f2-9442-47b124c27ff5,195ed3ca8608c88057bbde26eb21b704,1443,Suburban,1,77,-0.07574751372302171,Yes,7.789802026,10,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Electronic Check,-0.9734886870773523,202.636202,-0.816561715863872,5,6,4,1,5,5,5,4
1751,df5cb678-df45-4147-9c73-68f31fa83019,231b7f7e28bf53b0e477febb18672ef1,170,Urban,1,62,1.4052401317518683,Yes,9.985414526,13,1,0,Yes,Month-to-month,Yes,No,,No,No,No,No,No,Yes,Yes,Yes,No,Credit Card (automatic),-1.0478106616171485,187.642236,-1.0698530421519925,1,2,3,5,4,2,2,1
1752,cdae6522-287c-4bca-91e9-d59f85addb8f,c1c5ab6d0b684970cd08d58ec391f084,4389,Urban,0,21,-0.6390415273227132,Yes,9.777239043,8,1,0,No,Month-to-month,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed Check,-1.1801921359203424,290.160419,-1.0258930390926673,4,4,4,4,3,5,3,2
1753,e8355f5a-fd5f-4208-be17-b89b64b9b8fd,cf2f1b15b82db9ae84dafa304df9e6c9,136,Rural,2,39,0.43913719877622454,No,12.84477246,13,3,0,Yes,Two Year,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Electronic Check,-0.7820397815148233,164.978458,-0.5741731166319731,2,3,3,4,3,2,4,3
1754,6f608ab3-0280-4624-98d3-fbb0ccca35c7,b958e2355ca93273006ace23fa669726,222,Suburban,4,23,0.17034778774325007,No,8.965640601,14,0,1,Yes,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Electronic Check,-0.6947366380259322,194.969934,-0.6570940558177324,3,4,5,3,2,3,5,5
1755,19d1a54e-5105-4a0f-89a4-c84493c9424c,16b53e64c33f9db0a90be795dbf356ab,3929,Urban,3,87,0.4888525974097849,Yes,7.587447184,9,1,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Mailed Check,-1.0084641295974879,242.610632,-0.7985218545032015,4,4,4,3,5,3,3,2
1756,1ad24986-b50e-4ee0-8dd7-e56143d3707d,8d19fd790c7ddc8cef30e7bafe2ed3e7,1060,Suburban,0,27,0.14787922203510298,No,12.57357797,19,1,0,No,One year,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,No,Bank Transfer(automatic),-1.0483847008727212,124.964303,-1.2251355067790572,3,4,4,5,2,3,3,5
1757,c620af1f-7893-4257-bc0a-a2d1bae11cf8,fc8dbf857a19c0b794e611acce652f58,2034,Rural,0,60,-0.7027573127360323,Yes,4.843884364,14,2,1,No,One year,Yes,No,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Credit Card (automatic),-1.014078056726053,222.660939,-0.987050414198826,3,4,3,2,4,4,4,3
1758,903f2dcc-0f4d-491c-8a0c-11f73e95911c,8a2ac283d02fafb6d3d08e1f676ecfa3,29460,Rural,3,80,-0.022188294518884308,Yes,10.38437058,16,0,1,No,Month-to-month,Yes,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Bank Transfer(automatic),-1.1014205137390385,137.468388,-1.232075486799236,4,5,5,2,3,4,3,4
1759,8ce291b7-e0f1-417a-b84b-eb17f97a545d,1fcb0dbb0d93388659b73bd82ab92a9e,208,Urban,1,56,-0.49751027367795886,Yes,14.67675595,13,2,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Mailed Check,-1.2276102165757394,232.641455,-1.2001542108764398,3,3,3,4,4,2,3,4
1760,3650b3ca-18cb-47ad-bae4-91c90facb525,ce2bea3bc4bed46149538b0d1b840098,24278,Suburban,2,20,0.6954883624900358,Yes,9.8699522,8,0,0,No,Month-to-month,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Electronic Check,-1.163835405585942,154.991856,-0.9652443656288644,3,4,4,6,2,4,4,3
1761,c443c9cf-69ad-448f-ba18-72a1b7c1a022,cc42b6a2c4daa31888cf8b185528e692,18937,Urban,1,39,-0.05321759724831792,Yes,16.75470959,10,0,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,-0.8773878318984688,194.966286,-0.6842855751143001,2,2,2,4,2,3,2,3
1762,95a11ea8-7618-4aa8-bfdf-0483a62cbfea,edb67c9f4c466b3f1398cbd5b7094b8f,21282,Urban,3,30,-0.19196643404679983,No,8.763640466,8,2,0,No,One year,No,No,Fiber Optic,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,-0.6263270246764445,232.622804,-0.5003208392278036,5,4,5,1,4,4,3,5
